Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6765601,MDG_0000000001,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,SEX,1978,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,56.0 [48.4-64.4],55.95096767,48.404724641,64.449590501,,2025-04-15T15:49:27.583+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
6765761,MDG_0000000001,COUNTRY,BHR,EMR,YEAR,Eastern Mediterranean,SEX,2007,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,7.9 [7.5-8.3],7.888631267,7.454683333,8.34440841,,2025-04-15T15:49:27.583+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
6765938,MDG_0000000001,REGION,AMR,,YEAR,,SEX,1993,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,27.2 [26.4-28.1],27.215264357,26.379056934,28.119473148,,2025-04-15T15:49:27.583+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
6766389,MDG_0000000001,COUNTRY,COD,AFR,YEAR,Africa,SEX,2000,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,83.1 [74.9-92.8],83.117574287,74.947070681,92.773119504,,2025-04-15T15:49:27.583+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6766408,MDG_0000000001,UNICEFREGION,UNICEFREGIONNA,,YEAR,,SEX,2021,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,5.0 [4.9-5.0],4.954199795,4.862546359,5.046685272,,2025-04-15T15:49:27.583+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6766414,MDG_0000000001,COUNTRY,JAM,AMR,YEAR,Americas,SEX,1980,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,28.7 [23.4-35.1],28.660959161,23.443971072,35.082011883,,2025-04-15T15:49:27.583+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
6766483,MDG_0000000001,COUNTRY,TUV,WPR,YEAR,Western Pacific,SEX,1976,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,71.9 [59.9-86.7],71.852416468,59.872164139,86.681503849,,2025-04-15T15:49:27.583+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
6766591,MDG_0000000001,COUNTRY,KEN,AFR,YEAR,Africa,SEX,1990,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,67.4 [63.2-72.0],67.375358255,63.201210305,71.986936985,,2025-04-15T15:49:27.583+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
6766904,MDG_0000000001,COUNTRY,LAO,WPR,YEAR,Western Pacific,SEX,2003,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,78.4 [71.5-86.5],78.447660213,71.469680547,86.466244121,,2025-04-15T15:49:27.583+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6767076,MDG_0000000001,COUNTRY,TLS,SEAR,YEAR,South-East Asia,SEX,2006,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,57.0 [50.6-64.0],57.038088601,50.607857573,64.043498391,,2025-04-15T15:49:27.583+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
