Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2163774,MDG_0000000001,COUNTRY,PRK,YEAR,SEAR,South-East Asia,SEX,1984,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,29.3 [22.9-37.5],29.27625,22.927048899,37.484083405,The UN IGME estimates are not the official statistics of the Democratic People's Republic of Korea.,2025-04-15T15:49:27.583+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
2164992,MDG_0000000001,COUNTRY,KIR,YEAR,WPR,Western Pacific,SEX,1995,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,57.5 [51.2-64.7],57.477652691,51.212094968,64.661296213,,2026-08-04T15:40:44.863+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
2165421,MDG_0000000001,COUNTRY,BHS,YEAR,AMR,Americas,SEX,1999,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,12.7 [11.9-13.7],12.698451853,11.85735956,13.654295595,,2026-08-04T15:40:44.863+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
2165571,MDG_0000000001,COUNTRY,BHS,YEAR,AMR,Americas,SEX,2016,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,13.0 [12.0-14.2],13.036881348,12.016852602,14.159668166,,2026-08-04T15:40:44.863+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2165968,MDG_0000000001,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,SEX,1987,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,32.9 [29.6-36.6],32.920284545,29.561027246,36.557279736,,2026-08-04T15:40:44.863+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
2165989,MDG_0000000001,COUNTRY,DZA,YEAR,AFR,Africa,SEX,2008,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,27.9 [26.2-29.7],27.858632562,26.213383881,29.655488902,,2026-08-04T15:40:44.863+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2166395,MDG_0000000001,COUNTRY,FJI,YEAR,WPR,Western Pacific,SEX,1952,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,83.5 [74.5-93.7],83.458835626,74.493629544,93.738763683,,2026-08-04T15:40:44.863+02:00,1952,1952-01-01T00:00:00+01:00,1952-12-31T00:00:00+01:00
2166454,MDG_0000000001,COUNTRY,TUR,YEAR,EUR,Europe,SEX,1956,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,201.4 [178.0-229.0],201.422703992,178.033249643,228.960376158,,2026-08-04T15:40:44.863+02:00,1956,1956-01-01T00:00:00+01:00,1956-12-31T00:00:00+01:00
2166502,MDG_0000000001,COUNTRY,OMN,YEAR,EMR,Eastern Mediterranean,SEX,2004,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,9.7 [8.6-10.9],9.681471092,8.592015896,10.911675985,,2026-08-04T15:40:44.863+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2166867,MDG_0000000001,COUNTRY,FJI,YEAR,WPR,Western Pacific,SEX,2004,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,15.8 [15.1-16.5],15.790676711,15.121345639,16.467504098,,2026-08-04T15:40:44.863+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2167080,MDG_0000000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,SEX,2022,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,47.6 [37.0-61.0],47.587931583,37.02008156,61.038653797,,2026-08-04T15:40:44.863+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2167344,MDG_0000000001,COUNTRY,CRI,YEAR,AMR,Americas,SEX,1984,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,21.4 [20.9-21.9],21.434889754,20.938558733,21.940073542,,2026-08-04T15:40:44.863+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
2167365,MDG_0000000001,UNICEFREGION,UNICEFREGIONSA,YEAR,,,SEX,1993,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,84.0 [81.9-86.2],83.964626269,81.90170571,86.176653372,,2026-08-04T15:40:44.863+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
2167601,MDG_0000000001,COUNTRY,ISL,YEAR,EUR,Europe,SEX,2022,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.0 [1.6-2.4],1.973139406,1.589463869,2.446709909,,2026-08-04T15:40:44.863+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2167763,MDG_0000000001,COUNTRY,PLW,YEAR,WPR,Western Pacific,SEX,2021,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,21.8 [9.5-34.4],21.751143582,9.526603359,34.373889564,,2026-08-04T15:40:44.863+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
2168125,MDG_0000000001,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,SEX,1961,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,103.8 [93.7-114.1],103.751633544,93.703759847,114.070692316,,2026-08-04T15:40:44.863+02:00,1961,1961-01-01T00:00:00+01:00,1961-12-31T00:00:00+01:00
2168554,MDG_0000000001,COUNTRY,ZWE,YEAR,AFR,Africa,SEX,1983,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,61.6 [55.4-68.2],61.591560287,55.392070791,68.197956604,,2026-08-04T15:40:44.863+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
2168639,MDG_0000000001,COUNTRY,GRC,YEAR,EUR,Europe,SEX,1959,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,39.2 [38.4-40.0],39.174653551,38.357605477,40.011987986,,2026-08-04T15:40:44.863+02:00,1959,1959-01-01T00:00:00+01:00,1959-12-31T00:00:00+01:00
2168657,MDG_0000000001,COUNTRY,TGO,YEAR,AFR,Africa,SEX,2022,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,33.1 [24.2-45.2],33.05046574,24.232063003,45.187738331,,2026-08-04T15:40:44.863+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2169394,MDG_0000000001,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,SEX,1974,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,45.5 [40.9-50.8],45.542195465,40.872941361,50.831722138,,2026-08-04T15:40:44.863+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
2169633,MDG_0000000001,COUNTRY,ECU,YEAR,AMR,Americas,SEX,1960,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,129.5 [110.3-152.9],129.498947511,110.257368711,152.87095147,,2026-08-04T15:40:44.863+02:00,1960,1960-01-01T00:00:00+01:00,1960-12-31T00:00:00+01:00
2170053,MDG_0000000001,COUNTRY,FRA,YEAR,EUR,Europe,SEX,2015,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,3.2 [3.1-3.3],3.188546771,3.129333573,3.252056724,,2026-08-04T15:40:44.863+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2170369,MDG_0000000001,COUNTRY,GTM,YEAR,AMR,Americas,SEX,2002,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,37.8 [34.7-41.2],37.784838808,34.672119124,41.235778029,,2026-08-04T15:40:44.863+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
2170680,MDG_0000000001,COUNTRY,PRT,YEAR,EUR,Europe,SEX,1951,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,97.0 [89.3-105.3],96.982327322,89.293683769,105.323476297,,2026-08-04T15:40:44.863+02:00,1951,1951-01-01T00:00:00+01:00,1951-12-31T00:00:00+01:00
2170981,MDG_0000000001,COUNTRY,GBR,YEAR,EUR,Europe,SEX,2017,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,4.2 [4.1-4.3],4.173461596,4.079372215,4.268905618,,2026-08-04T15:40:44.863+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
